ID,TENURE_QUINTILES,payment_pr1q_mean_diff_days,payment_pr1q_num_payments,FUND_VALUE2,Mode_Month,payment_pr1q_med_diff_days,payment_pr1q_sd_diff_days,payment_pr1q_num_past_due,payment_pr1q_num_past_due_30d,Mode_Annual,COMMENCEMENT_MONTH,payment_pr1q_sd_pay_amt,ABC_ANNUAL_PREMIUM2,Mode_Quarter,age,payment_pr1q_sd_pay_date,NO_OF_CHILDREN2,TERM,Mode_Half,lapse_var
365,1,-7.454923109,4.668328075,-7332898.322,1,101.9431798,-19.00105148,2.858329944,0,0,12,15539.25302,21987.89958,0,57.16694585,3.744969722,0,23.16893548,0,1
367,1,45.15477807,2.703836139,-1526307.586,1,23.46489762,-31.46968941,2.517539788,0,1,11,8111.440679,38196.88688,0,22.73768853,-4.089824613,1,25.71251885,0,1
373,1,-45.4032232,2.1627487,-4406403.813,0,-0.768298803,-45.99009021,1.647601146,NA,0,10,-8571.510537,55936.75926,0,39.76043466,0.928899342,0,20.51642205,0,1
390,2,3.49260896,1.57228022,-9335462.269,1,-18.68896423,-86.95877263,1.807989504,1,0,1,9141.283757,-45331.72506,0,58.868817,9.410552158,0,23.34949942,0,1
399,2,-13.05384897,1.155789983,-8107413.094,1,52.58108075,55.62372105,1.820211193,0,0,12,-8547.150809,57104.69221,0,43.40833509,9.143257437,0,13.38140411,0,1
402,0,36.66648025,5.482084326,1.17E+07,1,17.29846667,25.97020708,4.229123967,1,0,6,-6677.877102,-50460.84475,0,40.02056632,10.00390564,1,16.76217322,0,1
430,0,21.90121034,3.18893344,-1.12E+07,1,-52.88624325,32.83092131,0.622674858,1,0,10,11711.99526,3459.234655,0,39.3787845,-0.893733239,NA,20.05887679,0,1
442,0,44.62816752,4.225756454,3972964.174,1,35.35374097,38.89938503,-0.703336404,NA,0,6,13658.57501,46686.9281,0,37.08388153,11.20430153,0,22.41411709,0,1
444,0,6.729483156,4.429562536,-8088206.683,1,68.60354004,36.10251768,1.664108974,0,0,9,8408.324237,3020.795625,0,34.26938428,4.187547092,0,9.281701547,0,1
456,3,7.348712213,3.24828317,1.96E+07,1,37.40640593,-5.907514076,2.635470609,1,0,7,3896.752983,14268.02127,0,28.96759429,-3.549684976,0,19.89276564,0,1
479,1,58.76000749,3.452551221,1.01E+07,1,25.79542237,30.30528612,2.500260326,NA,0,8,8119.615117,10076.01108,0,16.56283533,2.110891517,NA,15.22277562,0,1
486,0,-19.86213274,4.889096446,8341026.173,1,-6.828382842,-82.04637633,4.144909277,1,1,12,-6025.515932,52234.62038,0,48.09626431,4.758798703,0,16.59428478,0,1
536,0,63.31673569,4.810278492,6836934.507,1,-7.547649878,-4.841286234,-1.94904503,0,0,9,1847.932747,44242.83325,0,52.10003342,9.217935399,0,18.79574581,0,1
537,1,24.30280805,3.387854225,6610384.938,0,76.43510516,77.97313095,0.940333176,1,0,8,-8598.462108,95173.6401,0,59.43443405,7.689947688,0,13.25064989,0,1
598,0,-12.4552906,3.197981796,-1.37E+07,1,-29.99875245,-8.335250056,2.685985924,1,0,9,-7305.120905,4346.691393,1,32.01031417,5.825348663,0,21.13550269,0,1
607,0,-0.369253526,7.372598577,-3.06E+07,1,31.03213087,94.47021164,1.593334789,0,1,1,7692.01795,71727.65211,0,37.17333954,-0.904427638,1,14.02601597,0,1
611,3,20.30991496,3.424124463,1.33E+07,1,23.65702304,1.795734015,2.700535368,1,0,12,-3117.894966,-20933.6145,0,43.52974559,8.942502244,0,13.82173687,0,1
620,1,70.31126038,1.639323704,1.89E+07,1,-17.17305706,15.32804295,0.462344911,0,0,7,-3741.623435,59768.23062,1,39.2279341,11.55413638,NA,18.92926153,0,1
622,1,39.67181721,0.895615113,-403077.4267,1,55.68839476,26.32754639,3.296833062,1,0,3,3572.704891,-16317.7027,1,37.09206532,-1.224050354,2,18.3019117,0,1
662,1,-30.07940906,3.152448813,2706607.842,1,48.95208709,23.42533917,2.381130155,0,0,10,1120.963788,-9549.340357,0,37.07558488,9.774098365,1,18.22108564,0,1
680,0,60.64115143,2.431408788,8484835.281,1,-1.764986755,46.26384901,2.538291564,NA,0,11,6609.83011,-17562.67098,0,42.33869763,4.32254547,0,13.81967391,0,1
698,0,21.70698568,1.039658969,-4501086.55,1,-76.92536987,21.19940895,1.243740041,NA,0,12,18735.29554,57632.75989,0,25.55294891,-4.507869478,1,22.00199307,0,1
707,1,24.64420976,5.402417925,2.56E+07,0,85.81910521,67.32067582,2.192312831,1,1,2,3452.452757,23299.32046,0,43.07594763,3.39476104,0,16.58740127,0,1
732,2,-1.199503326,1.826530194,-1.80E+07,1,-28.14606861,61.30099083,2.972370349,1,0,1,-2569.46245,54690.04703,0,34.42809079,4.795012212,1,14.02955547,0,1
749,0,20.23869278,2.554541043,7735480.645,0,23.00016595,-28.43663982,3.573433957,0,0,6,-3835.819033,-54805.83188,0,56.20495889,4.783001114,NA,13.83671661,0,1
772,1,15.7825237,2.215629377,2.66E+07,1,7.937826065,-0.865716076,1.866720802,0,0,10,-880.6136055,-42691.43924,0,34.6064639,5.389838652,0,17.98510303,1,1
781,1,5.240078894,2.708851389,-6917100.527,1,27.32925123,7.083780197,3.174463303,1,0,9,5225.395178,120595.2736,0,61.10751685,-0.619824596,0,17.78526351,0,1
800,0,53.22791147,2.73593295,1.70E+07,0,-23.14349708,71.28591191,3.186697504,1,0,9,-20386.76106,-771.8729648,0,58.1010173,0.167582963,NA,30.92925498,0,1
807,1,92.20987289,2.423326895,7708292.707,1,-67.25817205,39.32267995,3.541231218,0,0,12,13164.28642,-87090.56209,0,44.63013117,1.325284588,2,19.57618784,0,1
812,2,-19.52189568,1.825091651,1.79E+07,1,41.15331336,62.85467006,2.149697121,0,0,12,-3047.803435,122441.9039,0,22.13873805,1.333056575,0,12.23532928,0,1
823,0,30.49588594,3.977813066,-2499261.219,0,15.08413216,8.833294456,3.781918213,NA,0,8,21191.20017,-13941.93835,0,30.0124821,3.467920625,NA,18.42874633,0,1
830,0,35.42743613,3.55802978,1968068.071,1,-25.8012393,18.93920354,1.699301643,0,0,3,-7651.089256,19817.46945,0,44.99807983,9.597465907,NA,26.16692043,0,1
838,0,-4.703245637,1.139677845,2.35E+07,1,23.90686706,42.58236733,1.962170073,0,0,7,-8990.793401,-4919.45605,0,29.88928842,8.704802327,NA,23.04365853,1,1
841,1,-5.676264084,4.302099722,-1367673.323,1,4.336304462,-37.26997385,5.152251777,1,0,4,-3450.096181,145691.832,0,16.28141894,2.216048591,1,26.85826871,0,1
859,2,-59.24242068,1.467545924,6457984.306,1,-132.7416156,48.29251177,1.530054192,0,1,2,-6372.034796,1826.564006,0,52.84691424,2.855697975,0,21.16407587,0,1
873,2,-4.131657092,2.035198705,-6980457.571,1,27.73065963,156.9450782,0.805968863,1,0,9,4953.041588,-2594.661289,0,11.24501851,8.605239438,0,20.32887718,0,1
878,0,-46.69508248,1.945806612,8252222.154,1,10.4793189,13.85467142,3.050037051,1,0,11,3530.1387,2316.750359,0,26.07780141,5.594968842,2,22.44748252,0,1
884,0,41.76233839,3.529044701,2.99E+07,1,15.00608911,30.88327898,1.205603356,NA,0,3,-602.7801119,-25397.82751,0,42.48140326,13.72791705,0,21.81665894,0,1
895,0,72.9554447,0.34413308,6580584.325,0,46.95275883,9.363627407,2.580724781,1,0,4,-10155.3005,96132.439,0,39.75643931,-3.799392695,NA,15.14448918,0,1
905,0,57.87371873,3.998381187,-8145080.115,1,-23.66909026,-14.94749277,3.299059796,0,0,2,1041.094401,-8193.699636,0,37.65469267,1.827538626,NA,16.97906319,0,1
924,0,16.42132033,6.154328822,-8894660.997,1,44.14474087,35.48694895,2.128471103,1,0,9,-7057.92347,40837.36989,1,52.56188818,5.597370341,0,21.884135,0,1
931,0,49.29285058,3.087508897,-1.00E+07,1,-14.6348703,-38.24303217,3.415358826,1,0,7,7121.433401,67954.21107,0,28.46457467,-2.635359535,1,18.35526453,0,1
952,1,44.47443307,2.988446397,1.74E+07,1,-14.81836243,45.35294378,5.673822865,0,0,1,-377.7842877,87412.13113,1,19.9455256,1.681343772,2,18.9115268,0,1
957,0,26.98240579,3.97432386,1.98E+07,1,1.524430754,86.22595942,3.415024593,1,0,3,964.1270081,-12015.33151,0,45.91857842,6.897462917,0,15.10293996,0,1
965,3,34.98426317,4.277436796,2.58E+07,0,13.52605466,-3.25503403,2.70649522,NA,0,1,4591.489909,56244.66295,0,24.93747116,6.696576882,0,26.63055858,0,1
971,0,39.39732676,4.715084711,9709955.482,0,40.20659702,63.56851638,2.542759386,1,0,9,-173.5805574,7854.056489,0,36.68470003,-0.196966995,0,24.65000211,0,1
997,2,-13.93760874,5.573744089,-5836353.119,1,-0.158379521,-66.83095964,0.942508633,0,0,7,-270.6724776,-14532.69008,0,48.64236944,5.552661172,0,14.2722146,0,1
1002,0,9.869249078,6.362565844,567926.6834,1,8.745920419,75.46269982,3.507936365,1,0,5,5350.04481,106684.5415,0,45.37275544,7.689417347,0,26.07915479,0,1
1021,0,62.84632498,4.713788071,1.33E+07,1,4.168395351,-1.263880401,3.522390155,0,0,12,7514.024181,13494.90552,0,36.60640337,3.860764021,0,14.6643536,0,1
1034,0,118.9970128,1.758064854,1.75E+07,1,-82.72936554,-35.14094534,3.054581315,0,0,8,-3278.736254,-71112.19455,0,45.33091635,7.835947398,NA,16.57848141,1,1
1038,2,15.95809909,2.015946794,8373425.587,1,50.56932924,-35.97355455,1.569234487,1,0,7,987.5313349,222561.8108,0,51.27320754,10.47209365,0,17.64359754,0,1
1065,2,-15.45498025,3.160419627,1.77E+07,1,51.84132638,-2.31786715,2.503666056,0,0,6,1802.373921,114946.161,0,26.45373296,1.255571656,NA,16.65025196,0,1
1099,1,32.25701746,3.176364795,6673037.138,1,101.9370884,19.56546535,1.912967215,1,0,6,5636.287415,-62729.90567,0,48.67049358,-0.869600944,NA,17.68621026,0,1
1181,2,-103.2896063,3.390903826,-1.11E+07,0,23.79352278,-5.980948995,1.904416841,1,0,10,2980.85799,65135.30303,0,53.25788128,2.223530011,NA,18.92727273,0,1
1197,2,48.17534509,1.859444471,-7878630.936,1,84.95858871,36.26246673,1.252200223,NA,0,6,12395.30113,206119.6792,1,17.31707491,4.43546684,0,18.80212598,0,1
1201,1,4.189391894,2.485403717,9687066.009,0,-25.89075172,2.901580197,1.181561258,0,0,9,15394.86325,-13989.92439,0,51.89775435,-1.624712701,0,16.35451249,1,1
1252,1,-13.55871741,3.30261171,-2490746.121,1,-17.63535489,61.10990282,1.506517875,NA,0,3,2643.78969,63326.17422,0,30.27677887,4.442804281,0,24.95066909,0,1
1277,0,63.07626705,1.002828975,-1.10E+07,1,-54.67019197,12.95133852,1.167053615,NA,0,5,-1438.028987,150586.9288,0,44.94667937,12.87866291,0,11.43316707,0,1
1282,1,23.78038632,3.548731434,1.02E+07,1,-5.085124729,20.67484263,0.755876978,1,0,6,-13617.7562,32400.5676,0,38.67897428,12.23138861,0,23.8046649,0,1
1285,3,-3.743579584,3.193840351,-3670964.6,1,25.44950766,0.356569501,2.931916542,0,0,8,-5030.661733,121828.977,0,46.91418032,13.87962874,0,21.48759552,0,1
1312,0,40.12117628,4.950289632,4710667.968,1,19.95851835,56.96560609,2.666457557,0,1,6,-235.867543,79157.8585,0,40.16715625,7.006297332,NA,19.89356574,0,1
1331,1,16.55236086,4.846285322,-2.79E+07,1,29.82541575,0.681346809,3.612058441,0,0,3,2507.003089,-87089.58842,0,46.29634437,-3.482069498,NA,24.21759472,0,1
1352,0,-12.9599664,4.406094509,1.05E+07,1,-0.449860539,-35.43974957,2.993425116,0,0,12,13638.26108,-7122.972856,0,46.84684871,-1.132498427,0,24.22106107,0,1
1355,0,59.13822193,0.573417665,2.11E+07,0,-1.975363711,-50.09897839,2.195053465,1,0,9,-7212.480233,114417.2649,0,44.0120025,1.03250573,NA,19.19464834,0,1
1360,0,35.4203809,7.467732714,-1.50E+07,0,37.33994813,6.215659564,0.991459164,0,0,7,-440.0820009,-15174.27605,0,44.02344829,0.68915501,0,19.30797783,0,1
1369,0,-52.62173139,1.975450165,-1.76E+07,1,78.09860772,-13.96350891,3.057766645,0,0,6,-16820.0417,107756.1628,0,32.45098067,5.214610595,0,28.88285099,0,1
1378,1,101.2790982,7.806626355,2939054.882,1,-63.19801522,-19.47765219,1.457563184,0,0,12,17674.60221,12988.89831,0,49.51800473,-0.28039466,1,24.23361275,0,1
1381,0,-45.59622684,4.068640288,9255718.433,0,0.614810566,68.93691931,3.52280441,NA,0,3,-2223.092251,-44171.37993,0,32.23012713,-0.242993411,0,21.12307591,0,1
1384,0,58.03950433,4.381760013,8408377.415,1,122.9748897,7.814247342,1.609784918,1,1,7,-6985.683797,40795.29513,0,39.35635119,2.998951768,1,13.41860413,0,1
1403,0,94.34965605,4.256853075,-1747622.188,1,1.689318877,62.95863475,2.411312748,NA,0,8,10121.92617,-13148.92393,0,60.131845,6.036097083,0,20.17171084,0,1
1404,0,13.61526087,4.251524737,3434411.452,1,-62.97201523,-13.95239839,4.417350704,0,0,9,-4864.552061,97134.2624,1,28.06555562,7.413938068,0,11.17862866,0,1
1408,2,92.5299241,1.91001214,2.19E+07,1,55.53822726,29.59113792,4.032647467,1,0,8,6334.608896,17739.14074,0,35.0594059,3.815359269,0,14.87339423,0,1
1428,0,-42.51998846,1.99841682,5083226.56,1,17.09805057,23.07760763,2.826015621,1,0,2,5680.316397,15194.36679,0,45.96537192,-0.02567896,0,14.91449365,0,1
1437,1,-25.03056419,5.222891768,-6922703.937,1,75.43432966,30.4826701,1.08643556,NA,0,8,9140.757953,43785.42209,0,46.49542152,-2.61448913,0,24.60736503,0,1
1450,0,-39.76307466,1.768505231,-82658.84861,0,-50.96849401,22.28782074,2.444892662,0,0,2,-457.2013175,9486.588873,0,37.89037811,6.035609277,0,15.34457408,0,1
1505,2,-14.30659498,4.743336175,1.37E+07,1,4.47584994,-29.24875895,2.26963736,0,1,6,3051.703024,45441.74291,0,26.82098916,0.522203417,0,20.54401014,0,1
1537,0,80.41607527,3.779297986,-5172544.912,1,-31.35153239,37.00811472,1.680130609,0,1,1,7559.762981,37209.02305,0,48.02721783,11.3233215,0,21.00545336,0,1
1549,0,35.54999229,0.696111784,1.53E+07,1,22.84150542,23.80904793,0.832304975,1,0,2,16689.66074,-66020.27875,0,45.30163198,7.988340327,NA,18.88293813,0,1
1626,2,-61.3048376,3.91241992,-3.23E+07,1,-21.55020831,-1.368761421,3.425751256,0,0,5,2345.262086,87992.19475,0,49.24299074,5.792117522,0,5.152671316,0,1
1656,0,-16.91082977,1.299934573,3.50E+07,1,-2.123078428,-56.30254263,3.297000022,1,0,1,5895.662436,35278.89248,0,54.80464528,23.1969753,2,15.99084716,0,1
1712,0,84.46440621,2.875887406,312214.3766,0,1.450057393,-36.86781075,-0.330667828,0,0,5,-3144.595993,134734.8892,0,32.76804238,9.189422184,0,14.50898879,0,1
1721,1,97.21169064,4.636667354,-635603.2237,1,23.58765449,-13.10628923,4.951243126,1,0,5,-783.2331833,-90751.98994,0,59.5107235,1.578787765,0,15.42502279,0,1
1736,1,21.8846108,5.594194031,-2205377.468,0,-41.93861216,2.628006098,1.322601042,1,0,1,1623.285988,7925.600084,0,41.81411412,9.97004396,NA,13.95100614,0,1
1741,0,16.92818189,3.151278339,2.83E+07,1,87.05290335,-68.35399524,2.841525968,1,0,10,1218.582263,85374.10821,1,42.74762827,-2.443709851,0,21.06778641,0,1
1753,1,-1.063053125,3.745418263,-9832782.659,1,76.18870063,-41.91281384,3.599313414,0,0,9,-1801.234969,-72090.96197,0,36.06941617,-2.940089812,0,29.11558706,0,1
1754,1,-2.335923579,0.535353475,6471422.375,1,33.84635544,-11.93331767,1.715723728,1,0,12,8614.399213,51103.61111,0,40.95143732,0.141423081,0,16.84803573,0,1
1768,1,80.02446781,-1.769589511,286978.9052,1,81.80382736,27.18227174,2.868303892,1,0,9,-7489.175517,53319.51209,0,51.66554541,7.808865203,0,14.48694449,0,1
1782,0,-2.334064891,1.740355163,1.81E+07,0,-39.72356083,46.54931355,5.20044148,0,0,9,-2296.67179,110598.9292,1,40.84853383,8.812865768,1,26.12570044,0,1
1814,3,25.92265313,4.261707688,888486.9158,1,7.579189359,88.25192221,0.323201932,1,0,8,-9356.234749,21988.87565,0,41.96242632,0.872100683,NA,20.4632165,0,1
1815,2,57.69122803,3.222851709,6289026.742,0,11.49856844,4.801248391,2.655159592,0,0,6,5284.63119,102814.3561,0,40.30225993,7.806855882,0,17.99443118,0,1
1822,2,30.40186749,2.410305411,-622305.8811,0,59.24970298,97.05866267,2.487996818,0,0,9,2719.890613,35397.28344,0,50.79062159,-1.147190302,0,11.69127382,0,1
1855,2,-83.15675544,3.826389114,6376910.737,1,20.28374867,27.03094888,5.037622705,1,0,5,170.7615014,169684.6322,0,32.2500056,10.93742299,0,15.43743352,0,1
1860,1,71.15077276,2.589258809,-4619183.604,0,-20.53096669,97.43695827,0.96149551,1,0,1,11860.35103,-39871.43481,0,16.1506877,4.867201835,NA,19.33805432,0,1
1864,1,45.63869497,1.039945294,2844755.243,1,74.09316569,-47.32110279,3.108159584,1,0,8,1057.355133,78361.31217,0,35.43625758,-1.620973686,NA,14.30788511,0,1
1884,0,25.57723251,6.579709696,8544846.861,1,75.28619391,17.2603659,2.741123015,0,0,4,3373.086411,109834.3938,0,48.42546372,-0.450506533,1,21.33660554,0,1
1910,2,-10.75522307,4.958858684,1.88E+07,1,68.95577905,-22.14319804,3.431218846,NA,0,4,-2146.18731,44075.58315,0,56.61057131,-2.643075477,0,18.92370955,0,1
1915,1,-32.73247438,1.492843182,-6299453.543,1,34.6974572,37.9408172,2.030109437,0,0,6,4074.795553,8720.823314,0,47.49772637,2.833922024,0,7.243568561,0,1
1933,1,13.27629767,3.60411286,-9330724.797,0,32.93579985,9.419819712,4.329171733,0,0,11,3870.624156,65112.56045,0,26.16177299,8.086139667,NA,11.38500999,1,1
1935,1,79.63080624,2.580292795,-2.35E+07,1,57.85767658,51.12013462,2.102536024,0,0,1,1571.061649,100934.7343,0,50.95571788,6.04933401,0,21.39610229,0,1
1940,1,-10.8853086,6.185480471,9320521.757,1,59.57312829,64.93303089,5.41737275,NA,0,8,3873.053026,-1249.590646,0,42.80172852,21.28870499,0,13.097466,0,1
1969,1,56.42810895,3.669824763,2.16E+07,0,-51.58956284,9.339300146,3.691422745,1,0,6,4125.5199,20852.68657,0,30.4440022,8.340445939,NA,21.42260478,0,1
1975,1,36.06675448,3.890547414,-5532585.659,0,126.5978975,63.34447281,3.665646297,0,0,8,5178.56385,24016.9601,0,49.29874473,-1.544144365,0,14.77580513,0,1
1988,0,29.49504931,1.968469563,2.42E+07,1,80.07795075,33.22905806,3.982351411,NA,0,7,658.3944773,-31047.32552,0,31.8065057,-1.474266936,0,10.68923166,0,1
1989,2,-28.74282471,3.704942013,2.39E+07,0,133.7458475,71.32004178,0.578964288,0,0,10,2228.411207,21799.41608,0,36.5772605,-2.97863711,0,16.84175392,0,1
2009,0,-112.7728557,3.997335731,-2.31E+07,1,60.63057295,-27.84462694,0.767452068,0,0,10,4846.758358,97451.14018,0,36.09955744,0.190374402,NA,18.74756083,0,1
2026,3,6.682663631,2.128908595,1571215.606,1,101.3586507,-35.87846238,3.443253492,0,0,2,-5460.127848,-3407.545826,1,28.53870882,9.838125183,0,23.46783655,0,1
2050,1,-13.61730001,2.601243774,-1.43E+07,1,39.06444072,41.22986407,5.373727203,0,1,3,-140.3335774,115381.5013,0,51.51845878,3.004979532,0,22.34456472,0,1
2073,0,120.5202969,4.482803663,2.26E+07,1,55.42383774,113.0854221,2.685495574,0,1,3,3580.831366,56276.03222,0,66.68903152,12.15618179,0,15.46668339,0,1
2081,0,15.46258041,0.951091978,1.47E+07,1,-6.634983028,9.863121275,3.656728416,1,0,1,4570.135814,142466.3009,0,45.58021257,11.54958576,0,11.44390195,0,1
2082,0,144.5476484,5.29303957,-3121379.561,1,-25.91166568,-64.39619797,1.275912426,1,0,9,7935.325488,64733.76761,0,36.64364209,6.888410114,NA,14.8940659,0,1
2093,1,39.27508086,2.551685886,4187775.006,1,114.642842,21.33092962,2.676343121,0,0,10,-3595.35944,-124466.7435,0,47.39726648,7.717764507,0,18.76106671,0,1
2102,0,75.7710755,2.492522702,-1.52E+07,1,32.68714514,20.22315961,4.056572432,0,1,11,7233.724918,-50420.0558,0,37.22836718,2.484176303,0,15.10520979,0,1
2106,1,-53.43807856,2.087431826,7448667.504,1,-85.56412239,-11.03255192,4.603186156,0,0,9,-3672.394281,-34801.48474,0,44.62567275,9.451487402,0,10.51084331,0,1
2139,1,101.6801081,4.393700259,8760474.139,1,33.58216443,62.75361688,4.024773492,1,0,2,9187.651931,756.1888482,0,39.14182515,3.89196001,0,22.35846297,0,1
2168,0,45.18787308,2.920038643,2099884.45,1,8.362174407,65.10062458,3.142291726,1,0,8,5847.733047,-21434.43052,0,25.17391366,11.56442481,0,21.43227919,1,1
2182,2,-32.24563577,2.223974553,7898070.511,1,13.19339353,50.32905946,2.195887296,0,0,6,17064.54444,105139.8882,0,34.3082434,-1.186551558,0,20.80889743,1,1
2204,0,-70.39718167,-0.219800905,2355313.501,1,-50.33610659,41.43550357,1.63953793,0,0,6,-4473.008098,-18128.47308,0,44.53300261,3.938505123,0,19.74919211,0,1
2227,2,43.63170979,6.228601915,2.55E+07,1,16.46036922,101.1753004,1.276323,0,0,12,-8599.953769,140161.4188,0,36.79910809,2.05705942,NA,18.14820494,0,1
2242,1,53.25396817,1.29131896,1.87E+07,1,50.79733544,-42.91945471,0.579065091,NA,0,1,-2028.503265,126912.1652,0,57.49980333,4.83493671,0,25.59990706,0,1
2279,0,59.21798541,4.19293309,3523384.891,1,-3.461473672,59.20343846,1.399513975,1,1,10,3726.045762,-165387.2623,0,31.67106173,5.887974787,0,18.18039538,0,1
2312,0,123.5099897,4.118188203,-1821945.534,1,-25.73021215,45.46147405,-0.732503496,1,0,9,3599.206716,117405.0173,0,37.04970086,5.149802099,0,24.30871868,0,1
2368,1,62.32857022,4.087060092,3826303.913,0,64.27689135,47.22501253,-1.165023104,0,0,9,-1000.564319,101652.8354,0,57.14719292,9.042666086,1,9.669115167,0,1
2381,0,28.64599646,4.004945931,1.53E+07,1,-78.44075426,-5.350663805,0.395267815,1,0,8,-2311.479101,30507.29519,0,50.94696205,0.419792639,0,16.182086,0,1
2389,1,97.69709684,4.771196103,5285313.271,1,75.25021758,-29.97730712,3.032991231,0,0,7,5235.929122,18350.40365,0,30.15390886,2.418077222,NA,24.11559502,0,1
2391,1,18.82428238,1.946375103,135968.5809,1,9.959289727,-12.97720906,2.218069888,1,0,10,8871.73638,46024.70654,0,49.03814344,21.7998367,1,13.126137,0,1
2394,0,36.29345895,1.952904572,-2900597.753,0,33.62957686,19.6296411,2.337380256,1,0,8,12114.50205,140930.9766,0,38.16369458,0.220095841,0,15.74464788,0,1
2408,1,-31.72211771,5.69945062,-3950328.185,1,53.24280735,27.76083598,1.537101683,0,0,2,11249.99916,13146.7995,0,38.62543612,5.134646902,NA,18.38831261,0,1
2415,1,30.51562653,0.204703598,-1.30E+07,0,16.05092682,31.4935918,5.472860838,1,0,12,9518.255412,116119.8386,0,46.8298703,3.796058022,0,14.56458086,0,1
2423,0,-10.99598006,3.219814679,-1.06E+07,0,49.09631479,-5.769323548,1.538402726,0,0,1,-2446.37043,142399.0682,0,40.56006769,4.467201679,0,10.15032892,0,1
2424,1,1.834267198,-0.08358856,1.58E+07,1,-6.851680403,-40.69308538,3.647147792,NA,0,12,19767.06851,-60397.95915,1,43.61736841,10.55900074,NA,10.94988939,0,1
2431,0,-17.16290702,3.868539688,-1.96E+07,1,137.2330269,8.240570005,3.565704101,0,0,9,-1337.778615,-13520.22583,0,34.32362832,4.20196939,0,21.48629414,0,1
2458,2,70.51954485,3.079882736,2.00E+07,1,61.37848027,68.38724554,2.949325687,NA,0,12,4023.846193,-6649.004167,0,54.9863822,3.173652849,0,15.37531567,0,1
2460,0,-20.06106909,3.302620429,2.10E+07,0,4.130833246,53.14998876,1.423697955,1,0,11,-20709.84027,2972.80938,1,46.94386113,5.232237469,0,18.95950161,0,1
2470,3,64.8759023,3.926818566,1.52E+07,1,-24.67452941,48.52517705,2.468964108,NA,0,6,-515.8689442,65511.92164,0,40.34338887,-1.508465135,0,12.64110754,0,1
2508,0,17.13661206,3.804861091,1.44E+07,1,-7.984019629,67.594668,1.814211437,0,0,10,-1371.049103,61612.20996,0,25.23302354,5.000869114,2,17.25265782,0,1
2511,3,-70.79020532,4.305148096,1.70E+07,1,92.9080686,16.1590685,4.517985389,0,0,1,1691.690927,83501.5198,0,64.21150794,1.548348671,3,5.525419719,0,1
2532,0,57.41102878,1.613791001,2.97E+07,0,-51.39302614,-27.69830655,2.889405683,1,0,8,13056.40779,-44328.86941,0,41.7823576,8.866748122,0,15.52232514,1,1
